shortOperatorName,lineName,backgroundColor,textColor,borderColor,shape,wikidataQid,GTFSAgencyID,GTFSAgencyName
vt-vasttag,7238,#c6df8f,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,7240,#c6df8f,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,7241,#c6df8f,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,7242,#c6df8f,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,7244,#c6df8f,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,7245,#c6df8f,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,7248,#c6df8f,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,7249,#c6df8f,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,7252,#c6df8f,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,7253,#c6df8f,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,7256,#c6df8f,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,7257,#c6df8f,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,7260,#c6df8f,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,7261,#c6df8f,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,7263,#c6df8f,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,7264,#c6df8f,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,7603,#c6df8f,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,7611,#c6df8f,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,7623,#c6df8f,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,7633,#c6df8f,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,7639,#c6df8f,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,13303,#f79829,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,13304,#f79829,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,13305,#f79829,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,13306,#f79829,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,13471,#0078c2,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,13482,#0078c2,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,17601,#c6df8f,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,17605,#c6df8f,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,17607,#c6df8f,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,17609,#c6df8f,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,17611,#c6df8f,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,17613,#c6df8f,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,17615,#c6df8f,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,17617,#c6df8f,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,17619,#c6df8f,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,17621,#c6df8f,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,17685,#c6df8f,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,17691,#c6df8f,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,27606,#c6df8f,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,27608,#c6df8f,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,27616,#c6df8f,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,27624,#c6df8f,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,27626,#c6df8f,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,27632,#c6df8f,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,27641,#c6df8f,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,27645,#c6df8f,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,27647,#c6df8f,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,37655,#c6df8f,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-gbg,x1,#fcee5a,#e55d99,#ffdd00,rectangle-rounded-corner,,279,Västtrafik
vt-gbg,x2,#fcee5a,#e55d99,#e697c1,rectangle-rounded-corner,,279,Västtrafik
vt-gbg,x3,#fcee5a,#e55d99,#0078c2,rectangle-rounded-corner,,279,Västtrafik
vt-gbg,x4,#fcee5a,#e55d99,#00a262,rectangle-rounded-corner,,279,Västtrafik
vt-gbg,x5,#fcee5a,#e55d99,#221f21,rectangle-rounded-corner,,279,Västtrafik
vt-gbg,x6,#fcee5a,#e55d99,#ed3e44,rectangle-rounded-corner,,279,Västtrafik
vt-gbg,x40,#fcee5a,#e55d99,#9dd08b,rectangle-rounded-corner,,279,Västtrafik
vt-gbg,x76,#fcee5a,#e55d99,#b85927,rectangle-rounded-corner,,279,Västtrafik
vt-gbg,x77,#fcee5a,#e55d99,#f4822a,rectangle-rounded-corner,,279,Västtrafik
vt-gbg,x90,#fcee5a,#e55d99,#a54499,rectangle-rounded-corner,,279,Västtrafik
